sentence,label
.,1
there's something fishy about a seasonal holiday kids' movie .,1
"Toronto, for one example.",1
the second chapter of the harry potter series is even more magical than the first and simply the best family film of the year .,1
"linked to her only by cell phone , the driver narrows in on her location in a desperate race against time and tide .",0
"This compound HDP-DBM model learns to learn novel concepts from very few training example by learning low-level generic features, high-level features that capture correlations among low-level features, and a category hierarchy for sharing priors over the high-level features that are typical of different kinds of concepts.",0
the minor figures surrounding [bobby] .,1
s .,0
"but if these are just tricks of the mind , how do these encounters leave georgia with physical manifestations ?",0
"in the aftermath of the fall of the talibans , the film explores the city of herat where it captures the reactions of the city dwellers expressing their memories and their hopes .",0
"unfortunately for them , sarah's parents send sarah's ex-boyfriend peter prentis ( played by christian kane ) to break up the happy marriage .",0
"a 93-minute condensation of a 26-episode tv series , with all of the pitfalls of such you'd expect .",1
blessed encompasses the lives of four women who are inescapably involved in a brothel at the centre of the plot .,0
the project's filmmakers forgot to include anything even halfway scary as they poorly rejigger fatal attraction into a high school setting .,1
Of course you would.,1
"i complain all the time about seeing the same ideas repeated in films over and over again , but the bourne identity proves that a fresh take is always possible .",1
 .,1
there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,1
"after finding the plane and its crew torn to shreds , the group tries to piece together clues about what could be responsible for the carnage .",0
a young great gatsbyish hip hopper named summer g falls for a middle to upper class sister while in college .,0
they carry out a sentence pronounced by rule of law .,0
"there's plenty of footage here of some of the world's best djs at work , and it's impressive , even for someone uninterested in the genre .",1
Mathematical appendixes provide a toolkit for understanding the models.,0
Our approach is based on the Curry-Howard isomorphism which says that programs following a specification are the same as proofs for mathematical theorems.,0
a stunning and informative nonfiction drama that looks at the arab-israel conflict from the mouths of babes .,1
"Duncan wasn't chosen last year for the first time in his career but has bounced back with a terrific season at age 36, averaging 17.5 points, 9.8 rebounds and 2.7 blocked shots, his best statistics since 2009-10.",0
not only does this musical documentary showcase a band that's at the top of its form .,1
"However, the topological structures of the functional molecular ecological networks are distinctly different between eCO2 and aCO2, at the levels of the entire communities, individual functional gene categories/groups, and functional genes/sequences, suggesting that eCO2 dramatically altered the network interactions among different microbial functional genes/populations.",0
"their only solid lead seems to be joanne , a young prostitute , whose own baby provides a link .",0
"it's sweet , funny , charming , and completely delightful .",1
"[screenwriter] pimental took the farrelly brothers comedy and feminized it , but it is a rather poor imitation .",1
"Blockchain is telling (and showing) us something very important about the evolution of capital and neoliberal economic reason, and the likely impact in the near future on forms and patterns of work, social organization, and, crucially, on communities and individuals who lack influence over the technologies and data that increasingly shape and control their lives.",0
[allen] manages to breathe life into this somewhat tired premise .,1
.,1
"It is easy to paint the firing of Mike Brown just five games into the second season of a four-year, $18 million contract as an overreaction of Steinbrenner-like proportions.",1
it is a story about finding yourself when you didn't even know you were looking .,0
.,1
"before she drowns , the baby is rescued by manny and sid .",0
presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it .,1
one day a man named donny ( morris chestnut ) infiltrates a prison with a band of crooks looking for 200 million dollars worth of us gold .,0
"It is essential reading for all students of Media and Communication Studies, and also those from Economics, Policy Studies, Business Studies and Marketing backgrounds who are studying the media.",0
"While this injury may not impact his fantasy value for the majority of the season, it is worth noting the guys behind the Tribe's closer.",1
"While Hamlin, his girlfriend Jordan Fish and little daughter are doing fine, they are also adjusting to a new life — something that has briefly consumed Hamlin’s attention and perhaps put a championship run a little deeper in his thoughts for a few days.",0
"a poetic drama about a young military driven boy named sean who recieves a video tape of a murder , only to discover that it's a government operation that he has interfered with .",0
"now the job isn't the payoff , it's about payback .",0
"Hence this type gives rise to an untyped combinatory algebra U which is applicatively equivalent to the typed combinatory algebra T. As a consequence, the realizability toposes over T and U are equivalent and hence the realizability model for FPC over U also universal and logically fully abstract.",0
"﻿After losing four of the last five games of the 2012 regular season, the Baltimore Ravens now have won three straight playoff games, including two in a row on the road over Peyton Manning and Tom Brady.",0
"the controversial bad-boy of comedy delivers a piercing look at his life , lifting the metaphorical smokescreen that he feels has clouded the public view , commenting on everything from the dangers of smoking to the trials of relationships , and unleashing a nonstop litany of raucous anecdotes , stinging social commentary and very personal reflections about life .",0
.,1
